<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ABI,20100727,3.7602,3.7602,3.7234,3.7234,1100
ABI,20100728,3.6865,3.6865,3.5391,3.5391,6400
ABI,20100729,3.6497,3.6866,3.6497,3.6865,2200
ABI,20100730,3.6865,3.7234,3.6865,3.6865,1000
ABI,20100802,3.6865,3.6865,3.6865,3.6865,300
ABI,20100803,3.4284,3.6865,3.4284,3.4285,3600
ABI,20100804,3.6866,3.6866,3.2073,3.2073,4400
ABI,20100805,3.5391,3.5391,3.5391,3.5391,100
ABI,20100806,3.6497,3.6497,3.3916,3.3916,1800
ABI,20100809,3.5022,3.5022,3.0967,3.1335,9500
ABI,20100810,3.3178,3.3178,3.2810,3.2810,2600
ABI,20100811,3.3179,3.3179,3.3179,3.3179,3700
ABI,20100812,3.3179,3.3548,3.1335,3.1335,1200
ABI,20100813,3.0966,3.2810,3.0966,3.2073,6700
ABI,20100816,3.3179,3.4654,3.3179,3.4653,14500
ABI,20100817,3.4653,3.4653,3.3178,3.3179,1400
ABI,20100818,3.2442,3.2442,3.2073,3.2073,12000
ABI,20100819,3.1336,3.1336,3.0598,3.1335,8800
ABI,20100820,2.9492,3.2441,2.9492,3.0967,7300
ABI,20100823,3.0598,3.0598,3.0598,3.0598,100
ABI,20100824,2.8755,3.3179,2.8755,3.1335,3300
ABI,20100825,2.7649,2.9124,2.7280,2.9124,7900
ABI,20100826,2.7649,3.0230,2.7649,3.0230,14400
ABI,20100827,3.1336,3.1336,3.1335,3.1335,100
ABI,20100830,2.9492,3.3178,2.8754,3.1704,3800
ABI,20100831,3.2073,3.2810,3.1335,3.2810,10200
ABI,20100901,3.2810,3.2810,3.1335,3.1704,8200
ABI,20100906,3.2441,3.2810,3.1335,3.1335,6800
ABI,20100907,3.1335,3.1335,3.0229,3.0230,7600
ABI,20100908,3.0599,3.0599,3.0598,3.0598,700
ABI,20100909,3.0598,3.0967,3.0598,3.0967,7800
ABI,20100910,3.0598,3.0598,3.0230,3.0598,6800
ABI,20100913,3.0598,3.2073,3.0598,3.0967,5800
ABI,20100914,2.8386,3.0967,2.8386,3.0598,2400
ABI,20100915,2.9861,3.0967,2.9861,3.0967,5200
ABI,20100916,3.0598,3.0598,3.0598,3.0598,0
ABI,20100917,2.9861,2.9861,2.9861,2.9861,100
ABI,20100920,3.0230,3.0230,3.0230,3.0230,400
ABI,20100921,2.9493,3.0230,2.9493,3.0230,1200
ABI,20100922,2.9493,3.0230,2.9493,3.0230,1300
ABI,20100923,3.0230,3.0230,2.9492,2.9492,1000
ABI,20100924,2.9492,2.9861,2.9492,2.9861,300
ABI,20100927,2.7280,2.7280,2.7280,2.7280,200
ABI,20100928,2.9861,2.9861,2.9861,2.9861,2700
ABI,20100929,3.0598,3.0598,2.8018,2.8018,4900
ABI,20100930,2.7281,3.0230,2.5806,3.0230,12000
ABI,20101001,2.9493,2.9493,2.7280,2.7280,200
ABI,20101004,2.6543,2.6543,2.6543,2.6543,6900
ABI,20101005,2.4700,2.8386,2.4700,2.8386,300
ABI,20101006,2.6543,2.8386,2.6543,2.8386,400
ABI,20101007,2.5805,2.6543,2.5805,2.5806,3000
ABI,20101008,2.5806,2.5806,2.5806,2.5806,1000
ABI,20101011,2.5806,2.5806,2.5806,2.5806,600
ABI,20101012,2.5806,2.6543,2.5806,2.6543,4800
ABI,20101013,2.5437,2.5806,2.5437,2.5806,12600
ABI,20101014,2.5806,2.7649,2.5806,2.5806,7900
ABI,20101015,2.5806,2.6912,2.5806,2.6912,1700
ABI,20101018,2.5806,2.5806,2.5806,2.5806,200
ABI,20101019,2.5806,2.5806,2.5806,2.5806,2500
ABI,20101020,2.5806,2.5806,2.3962,2.3962,700
ABI,20101021,2.5437,2.5806,2.5437,2.5806,9900
ABI,20101022,2.8018,2.8018,2.3962,2.3962,8000
ABI,20101025,2.4331,2.6543,2.4331,2.6543,500
ABI,20101026,2.4331,2.6912,2.4331,2.6912,200
ABI,20101027,2.5806,2.5806,2.5806,2.5806,7000
ABI,20101028,2.5806,2.5806,2.5806,2.5806,0
ABI,20101029,2.4331,2.4331,2.3962,2.3962,300
ABI,20101101,2.3962,2.3962,2.3962,2.3962,0
ABI,20101102,2.5437,2.5806,2.5437,2.5806,1100
ABI,20101103,2.5806,2.5806,2.5806,2.5806,1000
ABI,20101104,2.5806,2.5806,2.5806,2.5806,0
ABI,20101105,2.6912,2.6912,2.6912,2.6912,100
ABI,20101108,2.7281,2.8018,2.7281,2.8018,200
ABI,20101109,2.6175,2.6175,2.5068,2.5068,1500
ABI,20101110,2.4699,2.4699,2.3962,2.3962,11000
ABI,20101111,2.3225,2.3962,2.3225,2.3962,4000
ABI,20101112,2.3593,2.3594,2.3593,2.3594,0
ABI,20101115,2.2119,2.2119,2.1382,2.1382,2200
ABI,20101116,2.2119,2.2119,2.2119,2.2119,6500
ABI,20101117,1.9907,2.0276,1.9907,1.9907,9300
ABI,20101118,1.9907,1.9907,1.9907,1.9907,0
ABI,20101119,2.1013,2.1751,2.0276,2.1751,26600
ABI,20101122,2.0645,2.0645,2.0276,2.0645,7200
ABI,20101123,2.1382,2.1382,2.1382,2.1382,4000
ABI,20101124,2.0645,2.2857,2.0645,2.2856,3100
ABI,20101125,2.3593,2.3593,2.2487,2.2488,10500
ABI,20101126,2.1382,2.1382,2.0645,2.1013,9000
ABI,20101129,2.1382,2.2488,2.1382,2.2119,15700
ABI,20101130,2.4331,2.4331,2.3962,2.4331,3400
ABI,20101201,2.6174,2.6174,2.2119,2.6174,8600
ABI,20101202,2.2488,2.4700,2.2488,2.4700,22600
ABI,20101203,2.6175,2.6543,2.5806,2.6543,18400
ABI,20101206,2.8018,2.8018,2.3962,2.4700,6200
ABI,20101207,2.3963,2.3963,2.2488,2.2488,15100
ABI,20101208,2.1382,2.1382,2.0645,2.0645,14500
ABI,20101209,2.1014,2.2857,2.1014,2.2856,20300
ABI,20101210,2.4699,2.4699,2.2487,2.4331,13000
ABI,20101213,2.5437,2.5437,2.4331,2.5437,19900
ABI,20101214,2.5806,2.5806,2.3962,2.3962,5200
ABI,20101215,2.6911,2.6911,2.3962,2.4331,9900
ABI,20101216,2.3594,2.5806,2.3225,2.5806,2000
ABI,20101217,2.3963,2.5069,2.3225,2.4700,14600
ABI,20101220,2.3225,2.3594,2.3225,2.3594,4900
ABI,20101221,2.2119,2.3594,2.2119,2.3594,2500
ABI,20101222,2.2488,2.2488,2.2119,2.2119,600
ABI,20101223,2.2119,2.2488,2.2119,2.2488,6700
ABI,20101224,2.2488,2.3594,2.2488,2.3225,2000
ABI,20101227,2.2856,2.3962,2.2488,2.3962,2400
ABI,20101228,2.4699,2.5437,2.3593,2.5068,60400
ABI,20101229,2.5068,2.5437,2.5068,2.5068,18700
ABI,20101230,2.7280,2.7280,2.5437,2.6174,13100
ABI,20101231,2.6174,2.6543,2.3962,2.6174,8200
ABI,20110104,2.5805,2.5806,2.5805,2.5806,0
ABI,20110105,2.3963,2.5437,2.3963,2.5437,1100
ABI,20110106,2.3962,2.3962,2.3962,2.3962,0
ABI,20110107,2.4699,2.5437,2.4331,2.5437,3900
ABI,20110110,2.4331,2.4331,2.4331,2.4331,1600
ABI,20110111,2.3225,2.3962,2.3225,2.3962,1000
ABI,20110112,2.5068,2.5068,2.4331,2.4331,1000
ABI,20110113,2.2119,2.5437,2.2119,2.5068,700
ABI,20110114,2.2856,2.5806,2.2856,2.5806,7700
ABI,20110117,2.5437,2.5806,2.5437,2.5806,5500
ABI,20110118,2.5806,2.5806,2.5069,2.5437,5400
ABI,20110119,2.5806,2.5806,2.5806,2.5806,1400
ABI,20110120,2.6543,2.8387,2.5806,2.5806,1200
ABI,20110121,2.5806,2.8755,2.5068,2.5068,5300
ABI,20110124,2.5805,2.5806,2.5805,2.5806,100
ABI,20110125,2.3594,2.5806,2.3594,2.3594,6300
ABI,20110126,2.5437,2.5437,2.2857,2.5437,1800
ABI,20110127,2.3962,2.5068,2.3962,2.5068,600
ABI,20110128,2.5437,2.5437,2.3225,2.5437,7800
ABI,20110208,2.3962,2.3962,2.3962,2.3962,0
ABI,20110209,2.5805,2.6174,2.5805,2.5806,1700
ABI,20110210,2.5806,2.5806,2.5806,2.5806,0
ABI,20110211,2.6175,2.6175,2.6174,2.6174,200
ABI,20110214,2.6174,2.6174,2.5068,2.5068,2700
ABI,20110215,2.4331,2.5805,2.2856,2.2856,9100
ABI,20110216,2.5805,2.5805,2.3593,2.3594,500
ABI,20110217,2.5806,2.5806,2.5806,2.5806,100
ABI,20110218,2.5806,2.5806,2.5806,2.5806,0
ABI,20110221,2.3225,2.3594,2.3225,2.3594,3200
ABI,20110222,2.1751,2.2488,2.1751,2.2119,900
ABI,20110223,2.2488,2.4331,2.2488,2.4331,6200
ABI,20110224,2.4700,2.4700,2.3594,2.3594,9300
ABI,20110225,2.4700,2.4700,2.4700,2.4700,100
ABI,20110228,2.4700,2.4700,2.3225,2.3594,6900
ABI,20110301,2.3225,2.3225,2.3225,2.3225,200
ABI,20110302,2.2856,2.3225,2.2856,2.3225,3500
ABI,20110303,2.3225,2.3225,2.3225,2.3225,0
ABI,20110304,2.3225,2.3225,2.3225,2.3225,0
ABI,20110307,2.3225,2.3225,2.3225,2.3225,0
ABI,20110308,2.3225,2.5068,2.1013,2.4331,400
ABI,20110309,2.3594,2.3594,2.3594,2.3594,0
ABI,20110310,2.5437,2.5437,2.5437,2.5437,100
ABI,20110311,2.6174,2.6174,2.6174,2.6174,100
ABI,20110314,2.6174,2.6174,2.6174,2.6174,0
ABI,20110315,2.3593,2.3594,2.3593,2.3594,600
ABI,20110316,2.5437,2.5437,2.5437,2.5437,200
ABI,20110317,2.5437,2.5437,2.5437,2.5437,0
ABI,20110318,2.5437,2.5437,2.5437,2.5437,0
ABI,20110321,2.5437,2.5437,2.5437,2.5437,0
